,name,price_in_NGN,country,mileage_in_km
0,Lexus ES 2009 Gray,"4,725,000",Foreign Used,208485
1,Lexus ES 350 2007 Black,"4,472,000",Nigerian Used,91026
2,Lexus RX 330 2004 Silver,"5,250,000",Foreign Used,346408
3,Lexus ES 350 2010 Black,"6,676,000",Foreign Used,220978
4,Lexus ES 300 2002 Gray,"2,716,000",Nigerian Used,311511
5,Lexus IS 2006 Red,"3,640,000",Nigerian Used,129101
6,Lexus RX 350 2018 Black,"21,937,500",Foreign Used,7349
7,Lexus RX 350 2011 White,"9,880,000",Foreign Used,72572
8,Lexus ES 2010 Red,"6,032,000",Foreign Used,143196
9,Lexus LS 2007 Gray,"5,250,000",Foreign Used,277739
10,Lexus ES 2004 Silver,"3,328,000",Foreign Used,614663
11,Lexus IS 250 AWD 2007 Silver,"4,160,000",Foreign Used,205644
12,Lexus RX 2004 Gray,"5,250,000",Foreign Used,396182
13,Lexus ES 2007 Red,"4,836,000",Foreign Used,133222
14,Lexus ES 350 2009 Blue,"4,680,000",Nigerian Used,63060
0,Lexus RX 350 2013 Black,"7,900,000",Nigerian Used,93594
1,Lexus ES 2007 Silver,"3,744,000",Nigerian Used,177936
2,Lexus ES 330 2005 Black,"3,360,000",Foreign Used,174360
3,Lexus ES 350 2009 Blue,"4,680,000",Nigerian Used,63060
4,Lexus ES 350 2007 Silver,"3,465,000",Nigerian Used,84355
5,Lexus GS 300 Automatic 2006 Gray,"4,680,000",Foreign Used,587508
6,Lexus ES 2003 Silver,"3,120,000",Foreign Used,392590
7,Lexus GS 300 AWD 2006 Black,"3,120,000",Nigerian Used,175416
8,Lexus RX 350 2012 Silver,"9,360,000",Nigerian Used,140672
9,Lexus ES 2007 Gray,"3,150,000",Nigerian Used,88115
10,Lexus RX 350 2011 Burgandy,"8,925,000",Foreign Used,167764
11,Lexus GX 2016 Black,"31,200,000",Foreign Used,66392
12,Lexus ES 350 2007 Red,"4,992,000",Nigerian Used,70586
13,Lexus RX 450h 2010 Gray,"11,550,000",Foreign Used,33341
14,Lexus RX 2006 Black,"4,515,000",Foreign Used,241425
15,Lexus ES 2014 Silver,"10,500,000",Foreign Used,228135
16,Lexus RX 350 2010 Black,"9,568,000",Foreign Used,148590
